WordnetID	count	Synsets	Definition
n13388245	3975	coin	a flat metal piece (usually a disc) used as money
n03079230	5548	compact_disk,compact_disc,CD	a digitally encoded recording on an optical disk that is smaller than a phonograph record; played back by a laser
n02504013	4456	Indian_elephant,Elephas_maximus	Asian elephant having smaller ears and tusks primarily in the male
n02099601	2662	golden_retriever	an English breed having a long silky golden coat
n10415638	4113	performer,performing_artist	an entertainer who performs a dramatic or musical work for an audience
n08192817	8401	Marines	members of a body of troops trained to serve on land or at sea
n03679712	39171	living_room,living-room,sitting_room,front_room,parlor,parlour	a room in a private house or establishment where people can sit and talk and relax
n02906175	2798	bronze	a sculpture made of bronze
n03348454	14291	firework,pyrotechnic	(usually plural) a device with an explosive that burns at a low rate and with colored flames; can be used to illuminate areas or send signals etc.
n02432291	5535	Virginia_deer,white_tail,whitetail,white-tailed_deer,whitetail_deer,Odocoileus_Virginianus	common North American deer; tail has a white underside
n07906284	7237	whiskey,whisky	a liquor made from fermented mash of grain
n06892979	52585	rock_concert	a performance of rock music
n09212572	44534	badlands	deeply eroded barren land
n02022684	8234	shorebird,shore_bird,limicoline_bird	any of numerous wading birds that frequent mostly seashores and estuaries
n02099029	3634	retriever	a dog with heavy water-resistant coat that can be trained to retrieve game
n09619168	169833	female,female_person	a person who belongs to the sex that can have babies
n08494231	14523	amusement_park,funfair,pleasure_ground	a commercially operated park with stalls and shows for amusement
n03179701	5852	desk	a piece of furniture with a writing surface and usually drawers or other compartments
n00903559	701865	photography,picture_taking	the act of taking and printing photographs
n01846331	24165	duck	small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs
n12849952	4949	English_lavender,Lavandula_angustifolia,Lavandula_officinalis	aromatic Mediterranean shrub widely cultivated for its lilac flowers which are dried and used in sachets
n02965300	9164	cargo_ship,cargo_vessel	a ship designed to carry cargo
n02839110	8104	billboard,hoarding	large outdoor signboard
n03954199	7717	plan,architectural_plan	scale drawing of a structure
n03609786	2504	keelboat	river boat with a shallow draught and a keel but no sails; used to carry freight; moved by rowing or punting or towing
n00187337	2664	goal	a successful attempt at scoring
n09230202	5175	butte	a hill that rises abruptly from the surrounding region; has a flat top and sloping sides
n09452395	12998	swamp,swampland	low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog
n15236475	194130	season,time_of_year	one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions
n04366367	2672	suspension_bridge	a bridge that has a roadway supported by cables that are anchored at both ends
n07630294	4623	chocolate_cake	cake containing chocolate
n03594945	7382	jeep,landrover	a car suitable for traveling over rough terrain
n09204977	9134	Arctic_Ocean	ice covered waters surrounding the North Pole; mostly covered with solid ice or with ice floes and icebergs
n03819595	10304	net,network,mesh,meshing,meshwork	an open fabric of string or rope or wire woven together at regular intervals
n03126707	2808	crane	lifts and moves heavy objects; lifting tackle is suspended from a pivoted boom that rotates around a vertical axis
n00482298	3686	tennis,lawn_tennis	a game played with rackets by two or four players who hit a ball back and forth over a net that divides the court
n02782093	13071	balloon	large tough nonrigid bag filled with gas or heated air
n14769465	78015	asphalt	mixed asphalt and crushed gravel or sand; used especially for paving but also for roofing
n06367107	11496	fiction	a literary work based on the imagination and not necessarily on fact
n11537506	5443	moss	tiny leafy-stemmed flowerless plants
n02802426	9620	basketball	an inflated ball used in playing basketball
n03928116	4216	piano,pianoforte,forte-piano	a keyboard instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds
n03702248	5922	machine_tool	a powered machine for cutting or shaping or finishing metals or other materials
n04147183	5256	schooner	sailing vessel used in former times
n14856263	6502	waste,waste_material,waste_matter,waste_product	any materials unused and rejected as worthless or unwanted
n08209687	10929	police,police_force,constabulary,law	the force of policemen and officers
n11665372	335740	angiosperm,flowering_plant	plants having seeds in a closed ovary
n00519333	36121	carnival,fair,funfair	a traveling show; having sideshows and rides and games of skill etc.
n02055803	2396	penguin	short-legged flightless birds of cold southern especially Antarctic regions having webbed feet and wings modified as flippers
n09405396	23513	rapid	a part of a river where the current is very fast
n02924116	34142	bus,autobus,coach,charabanc,double-decker,jitney,motorbus,motorcoach,omnibus,passenger_vehicle	a vehicle carrying many passengers; used for public transport
n12100538	90791	Gramineae,family_Gramineae,Graminaceae,family_Graminaceae,Poaceae,family_Poaceae,grass_family	the grasses: chiefly herbaceous but some woody plants including cereals; bamboo; reeds; sugar cane
n03724870	2826	mask	a covering to disguise or conceal the face
n07456638	33217	athletic_contest,athletic_competition,athletics	a contest between athletes
n11530512	32094	crop	a cultivated plant that is grown commercially on a large scale
n03900979	2864	pavilion,marquee	large and often sumptuous tent
n11439690	252956	cloud	any collection of particles (e.g., smoke or dust) or gases that is visible
n00440218	13052	jumping	the act of participating in an athletic competition in which you must jump
n00451370	128998	cycling	the sport of traveling on a bicycle or motorcycle
n08587174	5721	reservation,reserve	a district that is reserved for particular purpose
n02740061	2743	armored_car,armoured_car	an armor-plated truck with strong doors and locks used to transport money or valuables
n04344873	2481	studio_couch,day_bed	convertible consisting of an upholstered couch that can be converted into a double bed
n13948912	11566	championship,title	the status of being a champion
n09428293	279838	seashore,coast,seacoast,sea-coast	the shore of a sea or ocean
n04679738	76766	expression,look,aspect,facial_expression,face	the feelings expressed on a person's face
n02968473	5883	carriage,equipage,rig	a vehicle with wheels drawn by one or more horses
n01584225	5127	wren,jenny_wren	any of several small active brown birds of the northern hemisphere with short upright tails; they feed on insects
n07950920	87040	social_group	people sharing some social relation
n02329401	9335	rodent,gnawer	relatively small placental mammals having a single pair of constantly growing incisor teeth specialized for gnawing
n00911048	14241	construction,building	the act of constructing something
n09229409	7186	brook,creek	a natural stream of water smaller than a river (and often a tributary of a river)
n03451798	40310	graffito,graffiti	a rude decoration inscribed on rocks or walls
n05560787	82827	leg	a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle
n05919263	6568	heart,bosom	the locus of feelings and intuitions
n10376523	34774	oldster,old_person,senior_citizen,golden_ager	an elderly person
n11690455	143396	petal,flower_petal	part of the perianth that is usually brightly colored
n11618861	5586	larch,larch_tree	any of numerous conifers of the genus Larix all having deciduous needlelike leaves
n03459591	5313	grill,grille,grillwork	a framework of metal bars used as a partition or a grate
n09964411	2551	copycat,imitator,emulator,ape,aper	someone who copies the words or behavior of another
n02834778	152529	bicycle,bike,wheel,cycle	a wheeled vehicle that has two wheels and is moved by foot pedals
n02121620	127767	cat,true_cat	feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats
n11669921	723262	flower	a plant cultivated for its blooms or blossoms
n03459775	5376	grille,radiator_grille	grating that admits cooling air to car's radiator
n11524662	171942	weather,weather_condition,conditions,atmospheric_condition	the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation
n15169421	213805	twilight,dusk,gloaming,gloam,nightfall,evenfall,fall,crepuscule,crepuscle	the time of day immediately following sunset
n02801047	30762	basilica,Roman_basilica	a Roman building used for public administration
n11508382	196958	snow,snowfall	precipitation falling from clouds in the form of ice crystals
n08580583	183853	habitat,home_ground	the type of environment in which an organism or group normally lives or occurs
n09913593	3146	cheerleader	an enthusiastic and vocal supporter
n08368757	186985	ecosystem	a system formed by the interaction of a community of organisms with their physical environment
n02919792	99954	bungalow,cottage	a small house with a single story
n08276720	5103	school	an educational institution
n07203016	188740	sketch,vignette	a brief literary description
n13984944	24086	shadow	shade within clear boundaries
n04149813	5244	scoreboard	a large board for displaying the score of a contest (and some other information)
n04252331	3419	snowshoe	a device to help you walk on deep snow; a lightweight frame shaped like a racquet is strengthened with cross pieces and contains a network of thongs; one is worn on each foot
n04407435	495904	temple	place of worship consisting of an edifice for the worship of a deity
n02879309	3754	boutique,dress_shop	a shop that sells women's clothes and jewelry
n09303008	176401	hill	a local and well-defined elevation of the land
n05669797	7780	heritage	practices that are handed down from the past by tradition
n08287844	4967	culture,civilization,civilisation	a particular society at a particular time and place
n06998748	18109	artwork,art,graphics,nontextual_matter	photographs or other visual representations in a printed publication
n13104059	571348	tree	a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
n02826886	13654	bell_tower	a tower that supports or shelters a bell
n06892775	130262	concert	a performance of music by players or singers not involving theatrical staging
n14009481	30424	running	the state of being in operation
n10804406	97369	young_person,youth,younker,spring_chicken	a young person (especially a young man or boy)
n13963970	19443	marriage,matrimony,union,spousal_relationship,wedlock	the state of being a married couple voluntarily joined for life (or until divorce)
n01847806	6236	mallard,Anas_platyrhynchos	wild dabbling duck from which domestic ducks are descended; widely distributed
n13083023	3365	houseplant	any of a variety of plants grown indoors for decorative purposes
n04033995	3589	quilt,comforter,comfort,puff	bedding made of two layers of cloth filled with stuffing and stitched together
n08677628	160509	venue,locale,locus	the scene of any event or action (especially the place of a meeting)
n04532670	3829	viaduct	bridge consisting of a series of arches supported by piers used to carry a road (or railroad) over a valley
n01555809	12518	Old_World_flycatcher,true_flycatcher,flycatcher	any of a large group of small songbirds that feed on insects taken on the wing
n04351550	7510	suite,rooms	apartment consisting of a series of connected rooms used as a living unit (as in a hotel)
n14535431	5316	moisture,wet	wetness caused by water
n02667576	12669	abbey	a church associated with a monastery or convent
n03120198	24427	court,courtyard	an area wholly or partly surrounded by walls or buildings
n14524849	111346	atmosphere,ambiance,ambience	a particular environment or surrounding influence
n03898500	2784	patchwork	sewing consisting of pieces of different materials sewn together in a pattern
n02807731	6126	bathroom,bath	a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet
n00429949	39080	fun,merriment,playfulness	activities that are enjoyable or amusing
n07631023	5578	cupcake	small cake baked in a muffin tin
n06387980	207230	text,textual_matter	the words of something written
n05946687	11205	religion,faith,religious_belief	a strong belief in a supernatural power or powers that control human destiny
n03558176	6140	ice_rink,ice-skating_rink,ice	a rink with a floor of ice for ice hockey or ice skating
n02812201	3681	battleship,battlewagon	large and heavily armoured warship
n00442115	6721	swimming,swim	the act of swimming
n03991062	3880	pot,flowerpot	a container in which plants are cultivated
n03046257	4976	clock	a timepiece that shows the time of day
n03972524	3677	pocket	a small pouch inside a garment for carrying small articles
n07699914	5770	spaghetti	pasta in the form of long strings
n02280223	2835	Pieridae,family_Pieridae	arthropod family including cabbage butterflies; sulphur butterflies
n07417405	2610	emergency,exigency,pinch	a sudden unforeseen crisis (usually involving danger) that requires immediate action
n07543288	7113	love	a strong positive emotion of regard and affection
n02484322	6226	monkey	any of various long-tailed primates (excluding the prosimians)
n03067912	9883	collage,montage	a paste-up made by sticking together pieces of paper or photographs to form an artistic image
n03965456	18531	plaza,mall,center,shopping_mall,shopping_center,shopping_centre	mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace
n12620196	37042	rose,rosebush	any of many shrubs of the genus Rosa that bear roses
n03743902	234934	memorial,monument	a structure erected to commemorate persons or events
n00796315	96324	adventure,escapade,risky_venture,dangerous_undertaking	a wild and exciting undertaking (not necessarily lawful)
n08619795	100518	plaza,place,piazza	a public square with room for pedestrians
n00263353	4970	tattoo	the practice of making a design on the skin by pricking and staining
n11452218	35527	energy,free_energy	(physics) a thermodynamic quantity equivalent to the capacity of a physical system to do work; the units of energy are joules or ergs
n15162388	137922	festival	a day or period of time set aside for feasting and celebration
n03933529	60763	pier,wharf,wharfage,dock	a platform built out from the shore into the water and supported by piles; provides access to ships and boats
n00247442	4327	roasting	cooking (meat) by dry heat in an oven (usually with fat added)
n05715283	2500	taste,taste_sensation,gustatory_sensation,taste_perception,gustatory_perception	the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus
n00222376	47798	fell	the act of felling something (as a tree)
n05305806	23943	lip	either of two fleshy folds of tissue that surround the mouth and play a role in speaking
n08554440	81551	suburb,suburbia,suburban_area	a residential district located on the outskirts of a city
n07133701	49498	conversation	the use of speech for informal exchange of views or ideas or information etc.
n07571324	188868	cuisine,culinary_art	the practice or manner of preparing food or the food so prepared
n15093938	39599	wallpaper	a decorative paper for the walls of rooms
n11672400	117733	wildflower,wild_flower	wild or uncultivated flowering plant
n00449295	125320	racing	the sport of engaging in contests of speed
n00797361	8224	marathon,endurance_contest	any long and arduous undertaking
n09246464	100235	cliff,drop,drop-off	a steep high face of rock
n08651247	61969	site,land_site	the piece of land on which something is located (or is to be located)
n03381126	64941	footwear	clothing worn on a person's feet
n07920052	4774	espresso	strong black coffee brewed by forcing hot water under pressure through finely ground coffee beans
n03519387	101435	high-rise,tower_block	tower consisting of a multistoried building of offices or apartments
n00928077	427594	design,designing	the act of working out the form of something (as by making a sketch or outline or plan)
n11624840	18578	spruce	light soft moderately strong wood of spruce trees; used especially for timbers and millwork
n09450163	61809	sun,Sun	the star that is the source of light and heat for the planets in the solar system
n03354903	12270	flag	emblem usually consisting of a rectangular piece of cloth of distinctive design
n08709038	7475	Caribbean	region including the Caribbean Islands
n12456845	2706	day_lily,daylily	any of numerous perennials having tuberous roots and long narrow bladelike leaves and usually yellow lily-like flowers that bloom for only a day
n09227839	11071	boulder,bowlder	a large smooth mass of rock detached from its place of origin
n04272054	120863	spectacles,specs,eyeglasses,glasses	optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision
n14768854	2560	art_paper	a high-quality paper (usually having a filler of china clay)
n09326662	2491	knoll,mound,hillock,hummock,hammock	a small natural hill
n07881800	125374	beverage,drink,drinkable,potable	any liquid suitable for drinking
n02690373	22739	airliner	a commercial airplane that carries passengers
n09857200	12089	bishop	a senior member of the Christian clergy having spiritual and administrative authority; appointed in Christian churches to oversee priests or ministers; considered in some churches to be successors of the twelve Apostles of Christ
n03450230	18813	gown	a woman's dress, usually with a close-fitting bodice and a long flared skirt, often worn on formal occasions
n02209624	2861	bumblebee,humblebee	robust hairy social bee of temperate regions
n12752205	12243	maple	any of numerous trees or shrubs of the genus Acer bearing winged seeds in pairs; north temperate zone
n04233124	133918	skyscraper	a very tall building with many stories
n01899746	8517	mane	long coarse hair growing from the crest of the animal's neck
n07614500	7593	ice_cream,icecream	frozen dessert containing cream and sugar and flavoring
n09842047	5997	basketball_player,basketeer,cager	an athlete who plays basketball
n02778669	30360	ball	round object that is hit or thrown or kicked in games
n01097292	51216	market,marketplace,market_place	the world of commercial activity where goods and services are bought and sold
n09917593	181191	child,kid,youngster,minor,shaver,nipper,small_fry,tiddler,tike,tyke,fry,nestling	a young person of either sex
n01562265	2703	robin,redbreast,robin_redbreast,Old_World_robin,Erithacus_rubecola	small Old World songbird with a reddish breast
n08499057	240041	atmosphere,air	the mass of air surrounding the Earth
n03457902	2821	greenhouse,nursery,glasshouse	a building with glass walls and roof; for the cultivation and exhibition of plants under controlled conditions
n00964343	7116	combat,armed_combat	an engagement fought between two military forces
n01249483	3804	demolition	the act of demolishing
n11503060	291295	reflection,reflexion	the phenomenon of a propagating wave (light or sound) being thrown back from a surface
n00910070	3476	needlework,needlecraft	work (such as sewing or embroidery) that is done with a needle
n07679356	8632	bread,breadstuff,staff_of_life	food made from dough of flour or meal and usually raised with yeast or baking powder and then baked
n10120533	3173	gardener,nurseryman	someone who takes care of a garden
n15259284	22564	Middle_Ages,Dark_Ages	the period of history between classical antiquity and the Italian Renaissance
n03927201	5563	photomontage	a montage that uses photographic images
n00445802	24794	boxing,pugilism,fisticuffs	fighting with the fists
n11519253	4093	thunderstorm,electrical_storm,electric_storm	a storm resulting from strong rising air currents; heavy rain or hail along with thunder and lightning
n02958343	823541	car,auto,automobile,machine,motorcar	a motor vehicle with four wheels; usually propelled by an internal combustion engine
n02021795	13998	seabird,sea_bird,seafowl	a bird that frequents coastal waters and the open ocean: gulls; pelicans; gannets; cormorants; albatrosses; petrels; etc.
n03969259	10313	plumbing_fixture	a fixture for the distribution and use of water in a building
n06874185	4169	traffic_light,traffic_signal,stoplight	a visual signal to control the flow of traffic at intersections
n07970406	60767	family,family_unit	primary social group; parents and children
n04215402	17868	sidewalk,pavement	walk consisting of a paved area for pedestrians; usually beside a street or roadway
n04681387	3042	crisscross,cross,mark	a marking that consists of lines that cross each other
n03393912	2438	freight_car	a railway car that carries freight
n04229480	6996	skiff	any of various small boats propelled by oars or by sails or by a motor
n04199027	28362	shoe	footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material
n08656590	4229	station	(nautical) the location to which a ship or fleet is assigned for duty
n04466613	96410	trail	a path or track roughly blazed through wild or hilly country
n08518374	7741	campus	a field on which the buildings of a university are situated
n04969798	17788	greenish_blue,aqua,aquamarine,turquoise,cobalt_blue,peacock_blue	a shade of blue tinged with green
n03720163	13221	map	a diagrammatic representation of the earth's surface (or part of it)
n07699584	6927	noodle	a ribbonlike strip of pasta
n03896103	19141	passenger_ship	a ship built to carry passengers
n06617165	44065	film_noir	a movie that is marked by a mood of pessimism, fatalism, menace, and cynical characters
n03122748	77488	covering	an artifact that covers something else (usually to protect or shelter or conceal it)
n04536038	2349	vineyard,vinery	a farm of grapevines where wine grapes are produced
n03984234	4410	porcelain	ceramic ware made of a more or less translucent ceramic
n02692232	8014	airport,airdrome,aerodrome,drome	an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo
n08497107	50143	arena	the central area of an ancient Roman amphitheater where contests and spectacles were held; especially an area that was strewn with sand
n14705287	3380	paste	any mixture of a soft and malleable consistency
n01855672	5907	goose	web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks
n03346455	5708	fireplace,hearth,open_fireplace	an open recess in a wall at the base of a chimney where a fire can be built
n07739125	6555	apple	fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
n07734017	2639	tomato	mildly acid red or yellow pulpy fruit eaten as a vegetable
n03763968	4078	military_uniform	prescribed identifying uniform for soldiers
n13983515	283238	dark,darkness	absence of light or illumination
n10688070	22027	tackle	the person who plays that position on a football team
n02898369	15737	brickwork	masonry done with bricks and mortar
n10470779	10183	priest	a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders
n02161457	21092	pollinator	an insect that carries pollen from one flower to another
n03963645	27664	playground	yard consisting of an outdoor area for children's play
n00058337	2582	boarding,embarkation,embarkment	the act of passengers and crew getting aboard a ship or aircraft
n11845793	3202	hedgehog_cactus	cactus of the genus Echinocactus having stout sharp spines
n07929519	5704	coffee,java	a beverage consisting of an infusion of ground coffee beans
n07493280	29115	relief,alleviation,assuagement	the feeling that comes when something burdensome is removed or reduced
n03085219	5014	computer_monitor	a device that displays signals on a computer screen
n12076577	3797	moth_orchid,moth_plant	any of various orchids of the genus Phalaenopsis having often drooping glossy broad obovate or oval leaves usually dark green flushed purple or mottled grey and silver
n03200701	9092	dining_room,dining-room	a room used for dining
n01560105	3130	nightingale,Luscinia_megarhynchos	European songbird noted for its melodious nocturnal song
n09347779	46160	marsh,marshland,fen,fenland	low-lying wet land with grassy vegetation; usually is a transition zone between land and water
n15166462	268800	evening,eve,even,eventide	the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
n01539925	3389	English_sparrow,house_sparrow,Passer_domesticus	small hardy brown-and-grey bird native to Europe
n09302616	29753	highland,upland	elevated (e.g., mountainous) land
n09638875	222640	White,White_person,Caucasian	a member of the Caucasoid race
n02898585	6644	bridal_gown,wedding_gown,wedding_dress	a gown worn by the bride at a wedding
n02512053	111202	fish	any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills
n02343772	2597	gerbil,gerbille	small Old World burrowing desert rodent with long soft pale fur and hind legs adapted for leaping
n04931965	344811	structure	the manner of construction of something and the arrangement of its parts
n01619310	2567	buzzard,turkey_buzzard,turkey_vulture,Cathartes_aura	a New World vulture that is common in South America and Central America and the southern United States
n03948242	16719	piste	a ski run densely packed with snow
n07575076	74769	lunch,luncheon,tiffin,dejeuner	a midday meal
n03589791	4624	jacket	a short coat
n14662574	3535	mineral	solid homogeneous inorganic substances occurring in nature having a definite chemical composition
n04137089	3929	sash_window	a window with (usually two) sashes that slide vertically to let in air
n15167027	258112	night,nighttime,dark	the time after sunset and before sunrise while it is dark outside
n05581693	7683	nail	horny plate covering and protecting part of the dorsal surface of the digits
n14943580	4344	lumber,timber	the wood of trees cut and prepared for use as building material
n13901585	5159	drop,bead,pearl	a shape that is spherical and small
n00838367	20926	eating,feeding	the act of consuming food
n03099274	6731	convenience_store	a store selling a limited variety of food and pharmaceutical items; open long hours for the convenience of customers
n03904183	12665	pedestrian_crossing,zebra_crossing	street crossing where pedestrians have right of way; often marked in some way (especially with diagonal stripes)
n03874965	4580	pagoda	an Asian temple; usually a pyramidal tower with an upward curving roof
n00464894	3889	golf,golf_game	a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes
n06791372	19114	signal,signaling,sign	any nonverbal action or gesture that encodes a message
n14521648	21553	fog,fogginess,murk,murkiness	an atmosphere in which visibility is reduced because of a cloud of some substance
n06066555	305162	botany,phytology	the branch of biology that studies plants
n12177844	2456	hibiscus	any plant of the genus Hibiscus
n03463832	10455	grove,woodlet,orchard,plantation	garden consisting of a small cultivated wood without undergrowth
n07705711	345694	produce,green_goods,green_groceries,garden_truck	fresh fruits and vegetable grown for the market
n08407619	18907	exhibition,exposition,expo	a collection of things (goods or works of art etc.) for public display
n15147850	79917	adolescence	the time period between the beginning of puberty and adulthood
n07576781	2833	barbecue,barbeque	a cookout in which food is cooked over an open fire; especially a whole animal carcass roasted on a spit
n07873807	3690	pizza,pizza_pie	Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese
n05540121	3064	skull	the bony skeleton of the head of vertebrates
n04334599	256480	street	a thoroughfare (usually including sidewalks) that is lined with buildings
n11462526	23377	storm,violent_storm	a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning
n01104406	87738	agribusiness,agriculture,factory_farm	a large-scale farming enterprise
n02858179	20217	boardwalk	a walkway made of wooden boards; usually at seaside
n03100490	325408	conveyance,transport	something that serves as a means of transportation
n02973558	33610	carving	a sculpture created by removing material (as wood or ivory or stone) in order to create a desired shape
n04971928	63565	brown,brownness	an orange of low brightness and saturation
n03699975	60298	machine	any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks
n04187547	19146	shed	an outbuilding with a single story; used for shelter or storage
n12992868	8040	fungus	an organism of the kingdom Fungi lacking chlorophyll and feeding on organic matter; ranging from unicellular or multicellular organisms to spore-bearing syncytia
n03096960	4809	control,controller	a mechanism that controls the operation of a machine
n03788195	6384	mosque	(Islam) a Muslim place of worship that usually has a minaret
n03643253	7268	laser,optical_maser	an acronym for light amplification by stimulated emission of radiation; an optical device that produces an intense monochromatic beam of coherent light
n02190166	7669	fly	two-winged insects characterized by active flight
n03547054	29450	hovel,hut,hutch,shack,shanty	small crude shelter used as a dwelling
n05254393	34602	hair,pilus	any of the cylindrical filaments characteristically growing from the epidermis of a mammal
n00243918	12662	cooking,cookery,preparation	the act of preparing something (as food) by the application of heat
n04589190	2779	window_blind	a blind for privacy or to keep out light
n09453008	140047	tableland,plateau	a relatively flat highland
n14974264	15642	paper	a material made of cellulose pulp derived mainly from wood or rags or certain grasses
n02122948	23821	kitten,kitty	young domestic cat
n04393549	11595	tapestry,tapis	a heavy textile with a woven design; used for curtains and upholstery
n07806221	9946	salad	food mixtures either arranged on a plate or tossed and served with a moist dressing; usually consisting of or including greens
n03316406	15910	factory,mill,manufacturing_plant,manufactory	a plant consisting of one or more buildings with facilities for manufacturing
n08674563	162590	terrain	a piece of ground having specific characteristics or military potential
n03044278	5326	clip_art	ready-made pieces of computerized graphic art that can be used to decorate a document
n07463872	6389	downhill	a ski race down a trail
n10577284	22943	seller,marketer,vender,vendor,trafficker	someone who promotes or exchanges goods or services for money
n02783324	4488	ballroom,dance_hall,dance_palace	large room used mainly for dancing
n04363559	10645	surfboard	a narrow buoyant board for riding surf
n04319432	9965	still_life	a painting of inanimate objects such as fruit or flowers
n07680932	4050	bun,roll	small rounded bread either plain or sweet
n02439033	2736	giraffe,camelopard,Giraffa_camelopardalis	tallest living quadruped; having a spotted coat and small horns and very long neck and legs; of savannahs of tropical Africa
n14698884	2792	gravel,crushed_rock	rock fragments and pebbles
n06799897	207254	line	a mark that is long relative to its width
n13099999	80982	deciduous_plant	a plant having foliage that is shed annually at the end of the growing season
n04968895	240680	blue,blueness	blue color or pigment; resembling the color of the clear sky in the daytime
n04306847	125900	statue	a sculpture representing a human or animal
n10599806	24327	singer,vocalist,vocalizer,vocaliser	a person who sings
n03502331	4197	head_covering,veil	a garment that covers the head and face
n03594734	2501	jean,blue_jean,denim	(usually plural) close-fitting trousers of heavy denim for manual work or casual wear
n04405907	5930	television_receiver,television,television_set,tv,tv_set,idiot_box,boob_tube,telly,goggle_box	an electronic device that receives television signals and displays them on a screen
n13886133	88252	arch	a curved shape in the vertical plane that spans an opening
n04210390	45785	shrine	a place of worship hallowed by association with some sacred thing or person
n07633511	8151	torte	rich cake usually covered with cream and fruit or nuts; originated in Austria
n07838073	3011	gravy	a sauce made by adding stock, flour, or other ingredients to the juice and fat that drips from cooking meats
n07622061	39672	baked_goods	foods (like breads and cakes and pastries) that are cooked in an oven
n08500433	24562	outer_space,space	any location outside the Earth's atmosphere
n08439022	107784	jungle	an impenetrable equatorial forest
n04446276	2713	toilet,lavatory,lav,can,john,privy,bathroom	a room or building equipped with one or more toilets
n07460651	4601	freestyle	a race (as in swimming) in which each contestant has a free choice of the style to use
n10146559	3220	greengrocer	a grocer who sells fresh fruits and vegetables
n05064541	340274	topography	the configuration of a surface and the relations among its man-made and natural features
n01874434	3080	marsupial,pouched_mammal	mammals of which the females have a pouch (the marsupium) containing the teats where the young are fed and carried
n04166281	108973	sedan,saloon	a car that is closed and that has front and rear seats and two or four doors
n02417070	3599	domestic_goat,Capra_hircus	any of various breeds of goat raised for milk or meat or wool
n06780678	108641	cartoon,sketch	a humorous or satirical drawing published in a newspaper or magazine
n06157326	160099	performing_arts	arts or skills that require public performance
n02121808	21341	domestic_cat,house_cat,Felis_domesticus,Felis_catus	any domesticated member of the genus Felis
n03385557	28557	fortification,munition	defensive structure consisting of walls or mounds built around a stronghold to strengthen it
n14857897	3617	debris,dust,junk,rubble,detritus	the remains of something that has been destroyed or broken up
n04092305	29071	rim	the outer part of a wheel to which the tire is attached
n07059626	19584	disco,disco_music	popular dance music (especially in the late 1970s); melodic with a regular bass beat; intended mainly for dancing at discotheques
n11675537	11161	pollen	the fine spores that contain male gametes and that are borne by an anther in a flowering plant
n03931765	54031	picture_frame	a framework in which a picture is mounted
n00471613	13709	baseball,baseball_game	a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs
n03721590	27120	marina	a fancy dock for small yachts and cabin cruisers
n03859495	23434	outerwear,overclothes	clothing for use outdoors
n03953416	166174	place_of_worship,house_of_prayer,house_of_God,house_of_worship	any building where congregations gather for prayer
n09409512	118556	ridge	a long narrow natural elevation or striation
n10083358	17327	fellow,dude,buster	an informal form of address for a man
n04309049	7226	steam_engine	external-combustion engine in which heat is used to raise steam which either turns a turbine or forces a piston to move up and down in a cylinder
n05289297	45245	muscle,musculus	one of the contractile organs of the body
n14699752	6180	gem,gemstone,stone	a crystalline rock that can be cut and polished for jewelry
n11525955	147064	wind,air_current,current_of_air	air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure
n09281104	23494	fjord,fiord	a long narrow inlet of the sea between steep cliffs; common in Norway
n01845132	50600	waterfowl,water_bird,waterbird	freshwater aquatic bird
n08505573	20748	desert	arid land with little or no vegetation
n04960277	274055	black,blackness,inkiness	the quality or state of the achromatic color of least lightness (bearing the least resemblance to white)
n03595860	25318	jet,jet_plane,jet-propelled_plane	an airplane powered by one or more jet engines
n04256520	2808	sofa,couch,lounge	an upholstered seat for more than one person
n02331479	2662	Muridae,family_Muridae	originally Old World rats now distributed worldwide; distinguished from the Cricetidae by typically lacking cheek pouches
